,correct,wrong
10,کاربران رایانه با مشکلات زیاد مواجه هستند مانند: کمر‎درد، چشم‎درد، بی‎حوصلگی، افسردگی، چاقی، فشار خون، دیابت . و opt ارتباط بین مردم کمتر می‌شود.,کاربران رایانه با مشکلات زیاد مواجه هستند مانند: کمر‎درد، چشم‎درد، بی‎حوصلگی، افسردگی، چاقی، فشار خون، دیابت ، opt ارتباط بین مردم کمتر می‌شود.
11,سابقاً بیابان‌ها دارای پوشش گیاهی بودند ، ولی به خاطر دخالت‌های ناآگاهانه انسان به بیابان تبدیل شدند ، و همچنین به خاطر عدم توجه دولت به برخی از فعالیت‌های عمرانی یا صنعتی به طبیعت لطمه وارد می‌شود.,سابقاً بیابان‌ها دارای پوشش گیاهی بوده‌اند ، ولی به خاطر دخالت‌های ناآگاهانه انسان به بیابان تبدیل شده‌اند ، و همچنین به خاطر عدم توجه دولت بر برخی از فعالیت‌های عمرانی یا صنعتی طبیعت لطمات وارد می‌شود.
12,تحت تاثیر افزایش بی‎سابقه قیمت نفت روز پر‎رونقی را پشت سر گذاشتند.,تحت تاثیر افزایش بی‎سابقه قیمت نفت روزی پر‎رونقی را پشت سر گذاشتند.
13,بیش از 2 درصد افزایش پیدا کرد.,پیش از 2 درصد افزایش پیدا کرد.
14,افزایش امیدواری به شرایط اقتصادی چین و آمریکا نیز عامل موثّر دیگری بر بهبود شرایط بازارهای مالی جهان بوده است.,افزایش امیدواری به شرایط اقتصادی چین و آمریکا نیز عامل دیگر موثر بر بهبود شرایط بازارهای مالی جهان بوده است.
15,بهبود وضعیت اقتصادی موجب افزایش تقاضا برای مواد خام شد برای همین بورس های نفت تقریباً 2 درصد بالا رفت.,بهبود وضعیت اقتصادی موجب افزایش تقاضا برای مواد خام همچنین نفت بورس‌های تقریباً 2 درصد بالا رفت.
16,مردمی که از رایانه زیاد استفاده می‌کنند مشکل سلامتی دارند .,مردمی که از رایانه زیاد استفاده می‌کنند مشکل سلامتی دارد .
17,بعدا من به شهرستان بروم .,بعدا من به شهرستان برویم .
18,چند سال پیش اینجا نیامده} بودم .,چند سال پیش اینجا آمده نبودم .
19,شهر پکن خیلی زیاد شلوغ است هوا خیلی بد است . چون ماشین زیاد و کارخانه زیاد است اما شهر پکن زیبا است مکان _املاک قدیمی زیاد دارد و دیوار بلند ش در دنیا خیلی مشهور است. پکن مرکز چین است. مرکز سیاسی است. رستوران زیاد و مغازه زیاد دارد .,شهر پکن مردم زیاد خیلی خیلی زیاد شروع شلوغ است همراه هوا خیلی بد است . چون ماشین زیاد و کارخانه زیاد است اما شهر پکن زیبا است پلاک مکان _املاک قدیمی زیاد دارد و دیوار بلند ش در دنیا خیلی مهم مشهور است. پکن مرکز چین است. مرکز سیاسی است. رستوران زیاد . و مغازه زیاد دارد .
20,مردم شهر آن خیلی خسته بودند . شهر پکن ده خط مترو دارد ۱۵-۱۲.,شهر آن مردم خیی خسته بود . شهر پکن خط ده مترو بودند{دارد{۱۵-۱۲.
21,مردم آن شهر خیلی خسته بودند .,مردم آن شهر خیلی خسته بود .
22,وقتی من بیرون آمدم، دیدم که ئالینا منتظر بود . من خیلی خوشحال شدم . داد. بعد ما رفتیم به یک هتل. در هتل ، غاز خوردیم. بعد با هم تا opt 2 ساعت گردش کردیم و کمی خرید کردیم.,وقتی من بیرون آمدم، دیدم که الینا منتظر میموندی . من خیلی خوشحال شدم ؟؟ داد. بعد ما رفتیم تا یک هتل. در هتل ؟؟ غاز را خوردیم. بعد با هم تا ؟؟ opt 2 ساعت گردش کردیم و یک کم کمی خرید کردیم.
23,بعد خسته شدن، آن روز خیلی خوابیدم . روز بعد خیلی زود بیدار شدم و با ئالینا بیرون رفتم. ؟؟ را دیدیم و خیلی خرید کردیم. زیبایی مسکو من را متعجب کرد. من می خواهم یک بار دیگر مسکو بروم چون مسکو هیچوقت قدیمی نمی شود .,بدی خسته شدن، ون روز خیلی خبیدم . روز دیگه خیلی زود بیدار شدم و با الینا بیرون رفتم. ؟؟ را دیدیم و خیلی خرید کردیم. زیبای مسکو من را تعجب کرد. من میخوام یک بار دیگه مسکو میرم چون مسکو هیچوقت پیر نمی‌شه .
24,چند سال پیش اینجا نیامده بودم .,چند سال پیش اینجا آمده نبودم .
25,در فرودگاه مسکو دوستم الینا منتظر است، ما با تاکسی تا خانه‌ی الینا رفتیم و بعد دوش گرفتم. ناهار خوردیم. بعد از 4 ساعت به بازار بزرگ رفتیم و کالاهای مختلف دیدیم ولی بیشتر کالاها گران بود. الینا گفت فردا به بازار ارزان ‌تر برویم.,در فرودگاه مسکو دوستم الینا منتظر است، ما با تاکسی تا خانه الینا رفتیم و بعد دوش گرفتم. ناهار خوردیم. بعد از 4 ساعت از بازار بزرگ رفتیم و کالاهای مختلف دیدیم ولی بیشتر کالاها گران بود. الینا گفت فردا تا بازار ارزان ‌تر برویم.
26,ساعت 7 شب به خانه برگشتیم و تلویزیون تماشا کردیم بعد یک ساعت الینا گفت باید به یک رستوران روسی برویم و یک غذای سنتی بخوریم، غذا خیلی خوشمزه بود، آخر شب به خانه‌اش برگشتیم و ساعت 12 شب خوابیدیم، روز بعد صبح زود بیدار شدیم و من هم دوش گرفتم ولی آن روز الینا گفت «آن روز یک جای جدید را می‌بینیم» ما یک تاکسی گرفتیم و به موزه ی مسکو رفتیم، آن موزه خیلی قدیمی است، آنجا من عکس گرفتم، ولی آن وقت موزه خیلی شلوغ بود بعد به یک پارک رفتیم و عکس گرفتیم، روز بعد تا یک فروشگاه کتاب رفتیم و کتاب فرهنگی خریدیم، من 7 روز در مسکو ماندم ولی آن روزها خیلی خوشحال بودم و بعد به کشورم برگشتم.,ساعت 7 شب به خانه برگشتیم و تلویزیون تماشا کردیم بعد یک ساعت الینا گفت باید از یک رستوران روسی می‌رویم و یک غذا سنتی بخوریم، این غذا خیلی خوشمزه بود، آخر شب به خانه‌اش برگشتیم و ساعت 12 شب خوابیدیم، روز بعد صبح زود بیدار شدیم و من هم دوش گرفتم ولی آن روز الینا گفت «آن روز یک جای جدید را می‌بینیم» ما یک تاکسی گرفتیم و تا مسکو موزه موزه ی مسکو رفتیم، آن موزه خیلی قدیمی است، آنجا من عکس گرفتم، ولی آن وقت موزه خیلی شلوغ بود بعد از تا یک پارک رفتیم و هم عکس گرفتیم، روز بعد تا یک فروشگاه کتاب رفتیم و کتاب فرهنگی خریدیم، من 7 روز در مسکو ماندم ولی آن روزها خیلی خوشحال شدم بودم و بعد به کشورم برگشتم.
27,چند سال پیش اینجا نیامده بودم.,چند سال پیش اینجا نامده بودم.
28,من تا به حال مسکو نرفتم ولی من می‎خواهم به مسکو بروم چون کشور خیلی قشنگی است طبیعت و دختر های خیلی خیلی قشنگی دارد .,من در مسکو نرفتم ولی من می‎خواهم به مسکو بروم چون کشور خیلی قشنگی ، طبیعتی و دخترها خیلی خیلی قشنگی . وقتی به فرودگاه می‌رسید، من و دوستم بعد به پارک می‌رویم بعد به هتل می‌رویم بعد به جاهایی تاریخی می‌رویم بعد به مغازه و بازارها می‌رویم بعد به موزه‌ها می‌رویم بعد عکس می‌گیریم و در بازار لباس می‌خرم مثل شلوار و کت چون مسکو خیلی خیلی سرد و برف زیاد بعد به شهر بازی می‌روم و باغ وحش می‌روم و پلنگ سفید ببینم چون فقط پلنگ سفید در مسکو وجود دارد. بعد به رستوران می‌روم و غذا سنتی می‌خورم
29,او قبول نکرده است با من به باشگاه بیاید .,او قبول نکرده است با من به باشگاه نیاد .
30,چند سال پیش اینجا نیامده بودم .,چند سال پیش اینجا آمده نبودم .
31,دوستم می‌خواهد به عراق برود. برای اولین بار است که به عراق می‌رود. من در فرودگاه منتظر او هستم . بغداد پایتخت کشور عراق است، و پر‎جمعیت‌ترین شهر است، بغداد مرکز تجاری بزرگی است. همچنین در بغداد مرکز خرید بزرگی وجود دارد. و مکان‌های تفریحی در آن که بچه‌ها بازی می‌کنند، و مکان‌های تفریحی برای مردم خیلی زیاد دارد.,دوستم می‌خواهد به عراق برود. برای اولین بار است که به عراق می‌رود. من در فرودگاه منتظر او است . بغداد پایتخت کشور عراق است، و پر‎جمعیت‌ترین است، در بغداد مرکز تجاری بزرگ بزرگی است. همچنین در بغداد مرکز خرید روزی بزرگی وجود دارد. و مکان‌های تفریحی در آن که برای بچه‌ها بازی می‌کنند، و مکان‌های تفریحی برای مردم خیلی زیاد دارد.
32,در بغداد مراقد امامین الکاظمین (علیه السلام) وجود دارد. مردم برای زیارت الامامین خیلی زیاد میآیند . مردم کشور های مختلف به عراق می‌آیند، برای زیارت الامامین (علیه السلام) و هوای بغداد خیلی خوب است، و برای تجارت می آیند . در عراق بابل منطقه مهمی است.,در بغداد مراقد الامامینا الکاظمین (علیه السلام) وجود دارد. مردم برای زیارت الامامین خیلی زیاد است . مردم کشور مختلف به عراق می‌آیند، برای زیارت الامامین (علیه السلام) و برای هوا بغداد هوای بغداد خیلی خوب است، و برای تجارت است می آیند . در عراق بابل منطقه مهم مهمی است.
33,در بابل آثاری وجود دارد. به دلیل دیدن آثار بیشتر مردم از کشور های مختلف به بابل می‌روند. در بازار همه چیز وجود دارد، مانند میوه ها و سبزیجات و لباس‌ها و همه چیز هایی که مردم نیاز دارند .,در بابل آثار وجود دارد. به دلیل دیدن آثار بیشتر مردم از کشور مختلف به بابل می‌روند. در بازار همه چیزهای وجود دارد، مانند میوه‌های و سبزیجات‌ها و لباس‌های و همه چیزهای هایی که مردم نیاز دارد .
34,در بازار همه چیز وجود دارد، مانند میوه و سبزی و لباس و همه‌ی چیزهایی که مردم نیاز دارند .,در بازار همه چیز وجود دارد، مانند میوه و سبزی و لباس و همه‌ی چیزهایی که مردم نیاز دارد .
35,مردم در عراق خیلی خوش اخلاق هستند و دوست دارند مهمان به خانه‌هایشان بیایند. خیابان بغداد خیلی شلوغ است، ولی ؟؟های عراق کم شلوغ است. دوستم از عراق خوشش آمد. گفت من منتظر شما هستم.,مردم در عراق خیلی خوششان‌ اخلاق است و دوست دارند مهمان‌ها به خانه‌های بیایند. خیابان بغداد خیلی شلوغ است، ولی ؟؟های عراق کم شلوغ است. دوستم در عراق خوشش آمد. من منتظر شما هستم.
36,مردم عراق خیلی خوش‌اخلاق هستند و دوست دارند مهمان به خانه‌هایشان بیاید .,مردم عراق خیلی خوش‌اخلاق هستند و دوست دارند مهمان به خانه‌هایشان بیایند .
37,اگر هیچ مشکلی نداشته باشم، فکر کنم بعد از 1 ساعت ئالینا را ببینم، امیدوارم که وقتی آنجا بروم همه جای تفریحی را ببینم بیشتر از همه من به میدان قرمز و ماوزایی می‌خواهم بروم و آنجا عکس زیاد می‌خواهم بگیرم این مکان ها مشهورترین جاها در مسکو هستند. ممکن است که من چیزی جالب ببینم، ئالینا به من کمک می‌کند چون من این شهر را نمی‌شناسم. من باید جاهای بیشتری بروم، چون مسکو اینجا است. شاید من به یک شهر دیگر بروم، مثلا سن پترز بورگ ، آنجا بیشتر از مسکو جاهایی تفریحی دارد .,پس اگر هیچ مشکلی نداشته باشم، فکر کنم بعد از 1 ساعت الینا ئالینا را ببینم، امیدوارم که وقتی اینجا آنجا بیام بروم همه جای تفریحی را می‌بینم ببینم بیشتر از همه من به میدون میدان قرمز و ماوزایی می‌خواهم بروم و آنجا عکس زیاد می‌خواهم بگیرم این جاهای مکان ها مشهورترین جاهایی جاها در مسکو هستند. ممکن است که من چیزی جایی جالب ببینم، الینا ئالینا به من کمک می‌کند چون من این شهر را نمی‌شناسم. من باید بیشتر جاهایی جاهای بیشتری بروم، چون مسکو میان اینجا است. شاید من به یک شهر دیگه دیگر بروم، مثلا سانکت پتربورگ سن پترز بورگ ، آنجا زیادتر بیشتر از مسکو جاهایی تفریحی هستند دارد .
38,نمی‌دانم، اما فکر کنم از این سفر لذت بردم و هیچ وقت ؟ opt من در روسیه فراموش نمی‌کنم.,پس نمی‌دانم، اما فکر کنم از این سفر لذت بردم و هیچ وقت ماه ؟ opt من در روسی روسیه فراموش نمی‌کنم.
39,چند سال پیش اینجا نیامده بودم,چند سال پیش اینجا آمده نبودم
40,این سفر برای من اولین بار است که خارج از کشور خودم سفر می‌کنم و اولین بار است که با هواپیما پرواز می‌کنم.,این سفر برای من اولین بار است که خارج از کشور خودم را سفر می‌کنم و هم اولین بار است که با هواپیما پرواز می‌کنم.
41,تمام عمرم بزرگترین آرزویم همین بود که بتوانستم پرواز کنم. الان با هیجان داخل هواپیمای امارات نشستم چون می‌دانم چه برنامه‌ی خوبی ئالینا برای من آماده کرده است.,تمام عمرم بزرگترین آرزویم همین بود که بتوانستم پرواز کنم. الان با هیجان داخل هواپیمای امارات نشستم چون می‌دانم چه برنامه‌ی خوبی الینا برای من آماده کرد.
42,اول از فرودگاه راست به خانه‌یشان می‌رویم تا چمدانم را بگذاریم. بعد می‌خواهد من را ببرد به یک رستوران که غذای سنتی روسی دارد. اسم این رستوران اگا است و در تمام دنیا خیلی معروف است. ئالینا در نامه اش به من گفت که بهترین غذای مسکو در رستوران اگا پیدا می‌شود. امیدوارم که غذای روسیه را دوست داشته باشم، واقعاً نمی‌دانم چی می شود .,اول از فرودگاه راست به خانه‌یشان می‌رویم و چمدانم را بگذاریم. بعد می‌خواهد من را ببرد به یک رستوران که غذای سنتی روسی دارد. اسم این رستوران اگا است و در تمام دنیا خیلی معروف است. الینا در نامه‌شان به من گفت که بهترین غذای مسکو در رستوران اگا پیدا می‌شود. امیدوارم که غذای روسیه دوست داشته باشم، واقعاً نمی‌دانم چی شود .
43,بعد از خوردن غذا در روسیه، دوستم می‌گفت مرکزخرید و جاهای تاریخی خیلی جالبی درشهر مسکو قرار دارد و حتماً به آنجاها من را می برد .,بعد از خوردن غذا در روسیه، دوستم می‌گفت خرید کردن و جاهای تاریخی خیلی جالبی درشهر مسکو قرار دارد و حتماً به آنجاها من را می‌بارد .
44,هر روز صبح ساعت هفت بیدار می‌شوم و هر صبح صبحانه می‌خورم من هر روز به موسسه زبان فارسی می‌روم در ساعت 21 به منزل می‌روم من با اتوبوس می‌روم من در ساعت یک ناهار آماده می‎کنم و در ساعت دو با شوهرم ناهار می‌خوریم. بعد از ناهار استراحت می‌کنم و بعد به خرید می‌رویم. ما شام را هم می‌خوریم ما در ساعت یازده به}خواب می‌رویم.,هر روز صبح ساعت هفت بیدار می‌شوم و هر صبح صبحانه می‌خورم من هر روز به موسسه زبان فارسی می‌روم در ساعت 21 به منزل می‌روم من به اتوبوس می‌روم من در ساعت یک ناهار آماده می‎کنم و در ساعت دو با شوهرم ناهار می‌خوریم. بعد از ناهار استراحت می‌کنم و بعد به خرید می‌رویم. ما شام را هم می‌خوریم ما در ساعت یازده با }خواب می‌رویم.
45,من هر روز صبح ساعت 30: 5 بیدار می‌شوم. نماز می‌خوانم. کتاب می‌خوانم. من، همسرم و دو پسرم صبحانه می‌خوریم. بعد من برای سر کار رفتن از خانه‌ام ساعت 8:15 می‌روم. تا 17:30 در کارخانه‌ام می‌ماندم. پسر بزرگ من به مدرسه می‌رود. همسرم و پسر کوچک من در خانه می‌مانند. من هر روز معمولا ساعت 18:30 به خانه‌ام می‌آیم با بچه‌هایم بازی می‌کنم، با هم شام می‌خوریم، صحبت می‌کنیم و معمولا ساعت 22:00 می‌خوابیم.,من هر روز صبح ساعت 30: 5 بیدار می‌شوم. نماز می‌خوانم. کتاب می‌خوانم. من، همسرم و دو پسرم صبحانه می‌خوریم. بعد من برای کارخانه رفتن از خانه‌ام ساعت 8:15 بیدار می‌روم. تا 17:30 در کارخانه‌ام می‌ماندم. پسر بزرگ من به مدرسه می‌رود. همسرم و پسر کوچک من در خانه می‌مانند. من هر روز معمولا ساعت 18:30 به خانه‌ام می‌آیم با بچه‌هایم بازی می‌کنم، با هم شام می‌خوریم، صحبت می‌کنیم و معمولا ساعت 22:00 می‌خوابیم.
46,من هر روز ساعت هفت بیدار می‌شوم. من دوش می‌گیرم، و لباس می‌پوشم. صبحانه می‌خورم. قهوه می‌نوشم، سیگار می‌کشم، بعد از خانه بیرون می‌روم. من به کلاس فارسی می روم. در کلاس فارسی من می‌خوابم چون من خیلی خسته و تنبل هستم . از ساعت نه تا ساعت یک در کلاس می‌مانم. بعد از ظهر من آزاد هستم. گاهی من به پارک می روم، یا موزه دیدن کردم. معمولاً من در رستوران نهار و شام می‌خورم. و بعد من به خانه برمی‌گردم، موسیقی گوش می‌کنم و ساعت دوازده به رختخواب می‌روم و می‌خوابم.,من هر روز ساعت هفت بیدار می‌شوم. من دوش می‌گیرم، و لباس می‌پوشم. صبحانه می‌خورم. قهوه می‌نوشم، سیگار می‌کشم، بعد از خانه بیرون می‌روم. من به کلاس فارسی می روم. در کلاس فارسی من می‌خوابم چون من خیلی خسته و تنبل است . از ساعت نه به ساعت یک در کلاس می‌مانم. بعد از ظهر من آزاد هستم. گاهی من به پارک می روم، یا موزه دیدن کردم. معمولاً من در رستوران نهار و شام می‌خورم. بعد و بعد من به خانه برمی‌گردم، موسیقی گوش می‌کنم و ساعت دوازده به رختخواب می‌روم و می‌خوابم.
47,من هر روز صبح ساعت 6:30 بیدار می‌شوم و بلند می‌شوم و به حمام می‌روم. ساعت 7:15 صبحانه می‌خورم. من هر روز صبح دو تخم‎مرغ با عسل می‌خورم. ساعت 8 از خانه بیرون می‌روم و به موسسه‎ی دهخدا می‌روم. من و دوستم هر روز با اتوبوس به دهخدا می‌رویم. از ساعت 9 تا ساعت 12:00 در کلاس می‎مانیم. ساعت 12:30 از موسسه‎ی دهخدا بیرون می‌روم و ساعت یک به خانه برمی‌گردم. ساعت 2 ناهار می‌خورم. بعضی وقت‌ها یک ساعت می‌خوابم. ساعت 6 عصر به بازار می‌روم، میوه می‎خرم و برای غذا مرغ و برنج می‌خرم و تخم‎مرغ می‌خرم ساعت 8:30 شب شام می‌خورم. من هر شب ساعت 9 شب درس می‌خوانم و تکلیف می‌نویسم. ساعت 12:00 می‌خوابم.,من هر روز صبح ساعت 6:30 بیدار می‌شوم و بلند می‌شوم و به حمام می‌روم. ساعت 7:15 صبحانه می‌خورم. من هر روز صبح دو تخم‎مرغ و عسل می‌خورم. ساعت 8 از خانه بیرون می‌روم و به موسسه‎ی دهخدا می‌روم. من و دوستم هر روز با اتوبوس به دهخدا می‌رویم. از ساعت 9 تا ساعت 12:00 به کلاس می‎مانیم. ساعت 12:30 از موسسه‎ی دهخدا بیرون می‌روم و ساعت یک به خانه برمی‌گردم. ساعت 2 ناهار می‌خورم. بعضی وقت‌ها یک ساعت می‌خوابم. ساعت 6 عصر به بازار می‌روم، میوه می‎خرم و برای غذا مرغ و برنج می‌خرم و تخم‎مرغ می‌خرم ساعت 8:30 شب شام می‌خورم. من هر شب ساعت 9 شب درس می‌خوانم و تکلیف می‌نویسم. ساعت 12:00 می‌خوابم.
48,اسم من چن است. من بیست و سه سال دارم من هر روز صبح ساعت 7 بیدار می‌شوم من ساعت 8 با مترو به مدرسه می‌روم. من از خانه به مدرسه یک ساعت آمدم من هر روز ساعت 9 تا 12 در کلاس هستم من 12 به خانه می‌روم ساعت 1 به خانه می آیم . من هر روز دو ناهار می خورم ساعت سه تا 5 می خوابم ساعت 6 به رستوران می روم غذا می خورم شب ساعت 8 تا ده تلویزیون تماشا می کنم ساعت 11 در خانه مطالعه فارسی می کنم ساعت 12 می خوابم}.,اسم من چن است. من بیست و سه سال دارم من هر روز صبح ساعت 7 بیدار می‌شود من ساعت 8 با مترو به مدرسه می‌روم. من از خانه به مدرسه یک ساعت آمدم من هر روز ساعت 9 تا 12 در کلاس من از 12 به خانه می‌روم ساعت 1 تا به خانه آمدم می آیم . من هر روز دو ناهار خوردم می خورم ساعت سه تا 5 خوابم می خوابم ساعت 6 به رستوران می روم غذا خوردم می خورم شب ساعت 8 تا ده تلویزیون تماشا کردم می کنم ساعت 11 در خانه مطالعه فارسی می کنم ساعت 12 خوابم کردم می خوابم}.
49,هر روز صبح ساعتم زنگ می‌زند. بعد چند دقیقه من بیدار می‌شوم و بلند می‌شوم. تند به حمام می‌‌روم و دوش می‌گیرم بعد لباس می‌پوشم و به آشپزخانه می‌روم. نان و میوه می‌خورم، هم قهوه. ساعت 8 از خانه بیرون می‌روم. هر روز صبح هوا خیلی خوب است به همین دلیل در خیابان راه می‌روم. بعد 40 دقیقه به موسسه دهخدا می‌رسم. اینجا دوباره قهوه می‌نوشم و من با دوستم صحبت می کنم . ساعت 9 به کلاس زبان فارسی می‌روم. بعد چند دقیقه کلاسمان شروع می‌شود . تا ظهر درس می‌خوانم سپس معمولاً من با هم‌کلاسی‌ام به رستوران می‌رویم و ناهار می‌خوریم. بعد از ناهار اغلب به پارک می‌روم و یک ساعت می‌خوابم یا به کتابخانه می‌روم و روزنامه می‌خوانم. بعد به خانه‌ام برمی‌گردم اما قبل اش من از فروشگاه غذا می‌خرم. هر دو روز در میان به باشگاه می‌روم و یک ساعت با دوستم ورزش می‌کنم . سپس با هم اتاقی ام آشپزی می‌کنیم و شام می‌خوریم. بعضی وقت‌ها کتاب می‌خوانم و هر شب به تختم می‌روم.,هر روز صبح ساعتم زنگ می‌زند. بعد چند دقیقه من بیدار می‌شوم و بلند می‌شوم. تند به حمام می‌‌روم و دوش می‌گیرم بعد از لباس می‌پوشم و به آشپزخانه می‌روم. نان و میوه می‌خورم، هم قهوه. ساعت 8 از خانه او بیرون می‌روم. هر روز صبح هوا خیلی خوب است به همین دلیل در خیابان راه می‌روم. بعد 40 دقیقه در به موسسه دهخدا می‌رسم. اینجا دوباره قهوه می‌نوشم و من به با دوستم صحبت می‌کنیم می کنم . ساعت 9 به کلاس زبان فارسی می‌روم. بعد چند دقیقه کلاسمان شروع می‌کند می‌شود . تا ظهر درس می‌خوانم سپس معمولاً من با هم‌کلاسم هم‌کلاسی‌ام به رستوران می‌رویم و ناهار می‌خوریم. بعد از ناهار اغلب به پارک می‌روم و یک ساعت می‌خوابم یا به کتابخانه می‌روم و روزنامه می‌خوانم. بعد به خانه‌ام برمی‌گردم اما قبل قبل اش من از فرودگاه فروشگاه غذا می‌خرم. هر دو روز در میان به باشگاه می‌روم و یک ساعت با دوستم ورزش می‌کنیم می‌کنم . سپس با هم اتاق هم اتاقی ام و آشپزی می‌کنیم و شام می‌خوریم. بعضی وقت‌ها کتاب می‌خوانم و هر شب به تختم می‌روم.
50,من ایل هستم. در کییا به دنیا آمدم. سی و دو سال دارم. یک سال پیش به ایران آمدم. من در کشور کییا کار می‌کنم. الان یک کم فارسی حرف می‌زنم. هر هفته سه روز به مدرسه می‌روم و درس یاد می گیرم .,من ایل هستم. در کییا دنیا آمدم. سه و دو سال دارم. یک سال در پیش در ایران آمدم. من در کشور کییا کار می‌کنم. الان یک کم فارسی حرف می‌زنم. هر هفته سه روز به مدرسه می‌روم و درس یاد گرفتم می گیرم .
